Finals,PAge,R/G,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
SSG Landers,28.8,3.79,88,55,0.615,3.48,3.8,144,144,144,0,19,51,1292.1,1240,546,500,99,436,12,1092,50,4,50,5463,1.297,8.6,0.7,3,7.6,2.5
Doosan Bears,28.8,3.82,88,55,0.615,3.51,3.86,144,144,141,3,10,44,1283.2,1259,550,500,78,380,22,860,70,5,48,5434,1.277,8.8,0.5,2.7,6,2.26
Kiwoom Heroes,26.5,3.97,86,57,0.601,3.61,4.03,144,144,142,2,12,39,1279,1293,572,513,61,371,3,984,58,6,45,5427,1.301,9.1,0.4,2.6,6.9,2.65
NC Dinos,27.2,4.38,73,69,0.514,4.01,4.42,144,144,139,5,8,32,1284.1,1285,631,572,103,483,10,991,92,2,68,5578,1.377,9,0.7,3.4,6.9,2.05
LG Twins,27.6,4.4,79,64,0.552,3.86,4.44,144,144,143,1,9,43,1283.1,1257,633,551,89,499,15,953,91,1,64,5555,1.368,8.8,0.6,3.5,6.7,1.91
KT Wiz,25.5,4.59,71,71,0.5,4.29,4.66,144,144,142,2,10,37,1277,1303,661,608,118,481,17,848,61,6,50,5533,1.397,9.2,0.8,3.4,6,1.76
Kia Tigers,26.2,5.02,62,80,0.437,4.65,5.15,144,144,141,3,11,30,1264,1362,723,653,101,504,17,976,76,2,51,5614,1.476,9.7,0.7,3.6,6.9,1.94
Samsung Lions,28.6,5.08,60,83,0.42,4.64,5.16,144,144,140,4,8,29,1275.1,1332,731,658,125,523,9,924,70,5,49,5638,1.455,9.4,0.9,3.7,6.5,1.77
Hanwha Eagles,27.3,5.12,58,86,0.403,4.8,5.23,144,144,142,2,8,28,1268.2,1407,737,677,120,526,9,934,72,4,66,5656,1.524,10,0.9,3.7,6.6,1.78
Lotte Giants,28.8,5.31,48,93,0.34,4.83,5.41,144,144,143,1,8,16,1271,1407,764,682,120,546,33,1033,71,4,103,5729,1.537,10,0.8,3.9,7.3,1.89
