Finals,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Kia Tigers,29,5,144,5702,5000,720,1361,250,19,113,677,103,34,542,983,0.272,0.349,0.398,0.746,1988,111,63,61,36,21
SSG Landers,30.4,5,144,5642,4893,720,1245,242,18,138,682,98,39,530,1075,0.254,0.336,0.396,0.732,1937,96,95,77,47,22
LG Twins,29.3,4.97,144,5626,4927,715,1325,208,33,118,674,102,46,501,924,0.269,0.346,0.396,0.742,1953,109,103,49,46,18
Samsung Lions,29,4.6,144,5647,5023,663,1358,241,19,103,627,91,27,446,1029,0.27,0.334,0.387,0.721,1946,119,54,83,41,28
NC Dinos,29.3,4.49,144,5585,4899,646,1260,230,15,105,613,100,39,501,981,0.257,0.334,0.375,0.709,1835,112,88,50,47,24
Doosan Bears,29.4,4.43,144,5510,4891,638,1249,210,12,101,592,90,40,450,1007,0.255,0.324,0.365,0.69,1786,116,71,53,45,16
KT Wiz,29.5,4.38,144,5546,4864,631,1237,192,19,119,588,89,34,519,1183,0.254,0.33,0.375,0.705,1824,105,49,70,44,21
Kiwoom Heroes,26.8,4.31,144,5655,4953,621,1250,203,33,94,578,63,20,527,1032,0.252,0.333,0.364,0.697,1801,89,92,49,34,26
Lotte Giants,28.4,4.2,144,5534,4948,605,1320,227,16,106,570,61,39,417,991,0.267,0.328,0.383,0.711,1897,127,54,73,42,19
Hanwha Eagles,26.4,3.92,144,5512,4878,564,1196,217,19,88,520,93,49,497,1264,0.245,0.319,0.352,0.671,1715,92,52,45,40,13
